Word;Description;Translation
Confluence;;
Incarceration;;
Collude;;
Inoculation;;
Copulate;;
Custodian;;
Dichotomy;;
Tailwind;;
Conclave;;
Artisan;;
Peninsula;;
Decreed;;
Erudite;;
Suffused;;
Preening;;
Adultery;;
Obtuse;;
Verbatim;;
Pertinent;;
Acquisition;;
Preamble;;
Vapid;;
Dullard;;
Gait;;
Stringent;;
Impervious;;
Meritocracy;;
Expunge;;
Egalitarian;;
Paganism;;
Reverence;;
Precipitation;;
Studious;;
Conspire;;
Derelict;;
Prosaic;;
Cloying;;
Diametrically;;
Lowly;;
Extricate;;
Laborious;;
Dismay;;
Exuberance;;
Calamity;;
Destitute;;
Penitent;;
Strewn;;
Inexorable;;
Incensed;;
Enmity;;
Impetuous;;
Solemn;;
Vassal;;
Excommunicated;Exclude from Christian church;
Barter;Trade goods;
Precipice;;
Earnest;;
Damsel;;
Chivalry;;
Minstrel;;
Escutcheon;;
Plumed;;
Zealous;;
Pious;;
Feudal;;
Intrepid;;
Bestowed;;
Heathen;;
Infidel;;
Zeal;;
Hearsay;;
Elusive;;
Aphrodisiac;;
Bemoan;;
Maim;;
Lament;;
Deplorable;;
Agency;;
Phone;;
Aptitude;;
Imperative ;;
Heinous;;
Prudent;;
Fruition;;
Dabble;;
Innuendo;;
Epitaph;;
Mediate;;
Incantation;;
Dismal;;
Abysmal;;
Decadent;;
Abnegate;;
Remedial;;
Cusp;;
Fruitless;;
Charlatan;;
Incontrovertibly;;
